location,cause,year,val
Afghanistan,"Communicable, maternal, neonatal, and nutritional diseases",2017,18404.23681
Afghanistan,"Communicable, maternal, neonatal, and nutritional diseases",2018,17643.30326
Afghanistan,"Communicable, maternal, neonatal, and nutritional diseases",2019,16530.33389
Afghanistan,"Communicable, maternal, neonatal, and nutritional diseases",2020,18423.06192
Afghanistan,"Communicable, maternal, neonatal, and nutritional diseases",2021,17669.47202
Afghanistan,Injuries,2017,13010.26477
Afghanistan,Injuries,2018,15230.76255
Afghanistan,Injuries,2019,13575.77988
Afghanistan,Injuries,2020,10963.54427
Afghanistan,Injuries,2021,14121.07942
Afghanistan,Non-communicable diseases,2017,21743.01742
Afghanistan,Non-communicable diseases,2018,21471.08472
Afghanistan,Non-communicable diseases,2019,21372.17508
Afghanistan,Non-communicable diseases,2020,21283.97663
Afghanistan,Non-communicable diseases,2021,20898.16514
Afghanistan,Other COVID-19 pandemic-related outcomes,2017,0
Afghanistan,Other COVID-19 pandemic-related outcomes,2018,0
Afghanistan,Other COVID-19 pandemic-related outcomes,2019,0
Afghanistan,Other COVID-19 pandemic-related outcomes,2020,1480.127768
Afghanistan,Other COVID-19 pandemic-related outcomes,2021,2281.683915
Albania,"Communicable, maternal, neonatal, and nutritional diseases",2017,2061.441209
Albania,"Communicable, maternal, neonatal, and nutritional diseases",2018,2017.674946
Albania,"Communicable, maternal, neonatal, and nutritional diseases",2019,1975.074158
Albania,"Communicable, maternal, neonatal, and nutritional diseases",2020,4540.991119
Albania,"Communicable, maternal, neonatal, and nutritional diseases",2021,6002.54583
Albania,Injuries,2017,2726.816099
Albania,Injuries,2018,2691.985812
Albania,Injuries,2019,2730.00753
Albania,Injuries,2020,2453.61402
Albania,Injuries,2021,2486.99199
Albania,Non-communicable diseases,2017,23887.1421
Albania,Non-communicable diseases,2018,24106.00334
Albania,Non-communicable diseases,2019,24418.36156
Albania,Non-communicable diseases,2020,24268.84667
Albania,Non-communicable diseases,2021,24641.50373
Albania,Other COVID-19 pandemic-related outcomes,2017,0
Albania,Other COVID-19 pandemic-related outcomes,2018,0
Albania,Other COVID-19 pandemic-related outcomes,2019,0
Albania,Other COVID-19 pandemic-related outcomes,2020,842.6939586
Albania,Other COVID-19 pandemic-related outcomes,2021,1685.496002
Algeria,"Communicable, maternal, neonatal, and nutritional diseases",2017,4211.518631
Algeria,"Communicable, maternal, neonatal, and nutritional diseases",2018,3940.958077
Algeria,"Communicable, maternal, neonatal, and nutritional diseases",2019,3670.033104
Algeria,"Communicable, maternal, neonatal, and nutritional diseases",2020,5903.40826
Algeria,"Communicable, maternal, neonatal, and nutritional diseases",2021,6443.694576
Algeria,Injuries,2017,2684.858864
Algeria,Injuries,2018,2682.858763
Algeria,Injuries,2019,2582.700515
Algeria,Injuries,2020,2506.094209
Algeria,Injuries,2021,2490.498072
